Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-20 11:01:52,2018-11-20 11:03:41,"1m - 49,638s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:01:52,2018-11-20 11:02:33,"40,762s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:01:53,2018-11-20 11:01:56,"3,325s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:01:56,2018-11-20 11:02:02,"5,977s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:02:02,2018-11-20 11:02:02,"0,247s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:02:02,2018-11-20 11:02:02,"0,109s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:02:02,2018-11-20 11:02:33,"30,656s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:02:33,2018-11-20 11:03:11,"37,917s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:02:33,2018-11-20 11:02:36,"2,610s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:02:36,2018-11-20 11:02:40,"4,096s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:02:40,2018-11-20 11:02:40,"0,303s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:02:40,2018-11-20 11:02:40,"0,114s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:02:40,2018-11-20 11:03:11,"30,777s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:03:11,2018-11-20 11:03:41,"29,932s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:03:11,2018-11-20 11:03:14,"2,684s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:03:14,2018-11-20 11:03:19,"5,144s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:03:19,2018-11-20 11:03:19,"0,220s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:03:19,2018-11-20 11:03:19,"0,122s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:03:19,2018-11-20 11:03:41,"21,743s",PASSED
