Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Firefox 63.0,,2018-11-19 09:58:25,2018-11-19 09:59:01,"36,272s",PASSED
,,,,,,
Test Cases/login,Firefox 63.0,,2018-11-19 09:58:25,2018-11-19 09:58:35,"9,509s",PASSED
openBrowser,Firefox 63.0,,2018-11-19 09:58:26,2018-11-19 09:58:30,"4,203s",PASSED
navigateToUrl,Firefox 63.0,,2018-11-19 09:58:30,2018-11-19 09:58:33,"3,001s",PASSED
setText,Firefox 63.0,,2018-11-19 09:58:33,2018-11-19 09:58:33,"0,202s",PASSED
setText,Firefox 63.0,,2018-11-19 09:58:33,2018-11-19 09:58:33,"0,107s",PASSED
click,Firefox 63.0,,2018-11-19 09:58:33,2018-11-19 09:58:35,"1,613s",PASSED
,,,,,,
Test Cases/login,Firefox 63.0,,2018-11-19 09:58:35,2018-11-19 09:58:47,"11,762s",PASSED
openBrowser,Firefox 63.0,,2018-11-19 09:58:35,2018-11-19 09:58:38,"3,683s",PASSED
navigateToUrl,Firefox 63.0,,2018-11-19 09:58:38,2018-11-19 09:58:45,"6,386s",PASSED
setText,Firefox 63.0,,2018-11-19 09:58:45,2018-11-19 09:58:45,"0,210s",PASSED
setText,Firefox 63.0,,2018-11-19 09:58:45,2018-11-19 09:58:45,"0,123s",PASSED
click,Firefox 63.0,,2018-11-19 09:58:45,2018-11-19 09:58:47,"1,348s",PASSED
,,,,,,
Test Cases/login,Firefox 63.0,,2018-11-19 09:58:47,2018-11-19 09:59:00,"13,273s",PASSED
openBrowser,Firefox 63.0,,2018-11-19 09:58:47,2018-11-19 09:58:50,"3,641s",PASSED
navigateToUrl,Firefox 63.0,,2018-11-19 09:58:50,2018-11-19 09:58:53,"2,694s",PASSED
setText,Firefox 63.0,,2018-11-19 09:58:53,2018-11-19 09:58:53,"0,136s",PASSED
setText,Firefox 63.0,,2018-11-19 09:58:53,2018-11-19 09:58:53,"0,105s",PASSED
click,Firefox 63.0,,2018-11-19 09:58:53,2018-11-19 09:59:00,"6,685s",PASSED
