Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-20 10:54:29,2018-11-20 10:56:34,"2m - 4,841s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 10:54:29,2018-11-20 10:55:20,"50,750s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 10:54:30,2018-11-20 10:54:35,"5,676s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 10:54:35,2018-11-20 10:54:49,"13,397s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 10:54:49,2018-11-20 10:54:49,"0,265s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 10:54:49,2018-11-20 10:54:49,"0,111s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 10:54:49,2018-11-20 10:55:20,"30,808s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 10:55:20,2018-11-20 10:56:00,"39,792s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 10:55:20,2018-11-20 10:55:23,"2,716s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 10:55:23,2018-11-20 10:55:29,"5,995s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 10:55:29,2018-11-20 10:55:29,"0,285s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 10:55:29,2018-11-20 10:55:29,"0,104s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 10:55:29,2018-11-20 10:56:00,"30,675s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 10:56:00,2018-11-20 10:56:33,"33,224s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 10:56:00,2018-11-20 10:56:02,"2,679s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 10:56:02,2018-11-20 10:56:08,"5,265s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 10:56:08,2018-11-20 10:56:08,"0,239s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 10:56:08,2018-11-20 10:56:08,"0,129s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 10:56:08,2018-11-20 10:56:33,"24,900s",PASSED
