Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-19 17:24:59,2018-11-19 17:25:33,"33,810s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 17:24:59,2018-11-19 17:25:09,"9,925s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 17:25:00,2018-11-19 17:25:04,"3,681s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 17:25:04,2018-11-19 17:25:08,"4,037s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:25:08,2018-11-19 17:25:08,"0,251s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:25:08,2018-11-19 17:25:08,"0,113s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:25:08,2018-11-19 17:25:09,"1,198s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 17:25:09,2018-11-19 17:25:17,"8,103s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 17:25:09,2018-11-19 17:25:12,"2,628s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 17:25:12,2018-11-19 17:25:16,"3,972s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:25:16,2018-11-19 17:25:16,"0,307s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:25:16,2018-11-19 17:25:16,"0,116s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:25:16,2018-11-19 17:25:17,"1,070s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 17:25:17,2018-11-19 17:25:32,"14,507s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 17:25:17,2018-11-19 17:25:20,"2,617s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 17:25:20,2018-11-19 17:25:24,"4,184s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:25:24,2018-11-19 17:25:24,"0,242s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:25:24,2018-11-19 17:25:24,"0,126s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:25:24,2018-11-19 17:25:32,"7,327s",PASSED
