Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-20 15:22:03,2018-11-20 15:23:55,"1m - 52,128s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 15:22:03,2018-11-20 15:22:43,"39,733s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 15:22:04,2018-11-20 15:22:08,"3,671s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 15:22:08,2018-11-20 15:22:11,"3,237s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 15:22:11,2018-11-20 15:22:43,"32,250s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 15:22:43,2018-11-20 15:23:19,"36,093s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 15:22:43,2018-11-20 15:22:46,"3,194s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 15:22:46,2018-11-20 15:22:47,"0,996s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 15:22:47,2018-11-20 15:23:19,"31,900s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 15:23:19,2018-11-20 15:23:54,"35,162s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 15:23:19,2018-11-20 15:23:22,"2,738s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 15:23:22,2018-11-20 15:23:22,"0,426s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 15:23:22,2018-11-20 15:23:54,"31,984s",FAILED
