Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-20 11:11:04,2018-11-20 11:12:51,"1m - 46,270s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:11:05,2018-11-20 11:11:44,"38,410s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:11:06,2018-11-20 11:11:09,"3,232s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:11:09,2018-11-20 11:11:12,"3,588s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:11:12,2018-11-20 11:11:13,"0,310s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:11:13,2018-11-20 11:11:13,"0,138s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:11:13,2018-11-20 11:11:44,"30,673s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:11:44,2018-11-20 11:12:23,"39,062s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:11:44,2018-11-20 11:11:47,"3,046s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:11:47,2018-11-20 11:11:52,"4,999s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:11:52,2018-11-20 11:11:52,"0,251s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:11:52,2018-11-20 11:11:52,"0,101s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:11:52,2018-11-20 11:12:23,"30,646s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:12:23,2018-11-20 11:12:50,"27,383s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:12:23,2018-11-20 11:12:25,"2,773s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:12:25,2018-11-20 11:12:30,"4,273s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:12:30,2018-11-20 11:12:30,"0,243s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:12:30,2018-11-20 11:12:30,"0,125s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:12:30,2018-11-20 11:12:50,"19,952s",PASSED
