Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-20 11:27:17,2018-11-20 11:28:46,"1m - 28,592s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:27:18,2018-11-20 11:27:43,"25,524s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:27:18,2018-11-20 11:27:21,"3,221s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:27:21,2018-11-20 11:27:28,"6,709s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:27:28,2018-11-20 11:27:28,"0,272s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:27:28,2018-11-20 11:27:29,"0,107s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:27:29,2018-11-20 11:27:43,"14,740s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:27:43,2018-11-20 11:28:05,"21,541s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:27:43,2018-11-20 11:27:47,"3,502s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:27:47,2018-11-20 11:27:52,"5,561s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:27:52,2018-11-20 11:27:53,"0,452s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:27:53,2018-11-20 11:27:53,"0,112s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:27:53,2018-11-20 11:28:05,"11,898s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 11:28:05,2018-11-20 11:28:45,"40,332s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:28:05,2018-11-20 11:28:08,"3,066s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:28:08,2018-11-20 11:28:12,"4,210s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:28:12,2018-11-20 11:28:12,"0,216s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:28:12,2018-11-20 11:28:12,"0,129s",PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:28:12,2018-11-20 11:28:45,"32,702s",PASSED
