Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-19 09:53:29,2018-11-19 09:54:01,"32,187s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 09:53:29,2018-11-19 09:53:39,"9,848s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 09:53:29,2018-11-19 09:53:34,"4,273s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 09:53:34,2018-11-19 09:53:38,"4,216s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 09:53:38,2018-11-19 09:53:38,"0,384s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 09:53:38,2018-11-19 09:53:38,"0,171s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 09:53:38,2018-11-19 09:53:39,"0,376s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 09:53:39,2018-11-19 09:53:50,"11,205s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 09:53:39,2018-11-19 09:53:42,"3,207s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 09:53:42,2018-11-19 09:53:49,"6,990s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 09:53:49,2018-11-19 09:53:50,"0,504s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 09:53:50,2018-11-19 09:53:50,"0,153s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 09:53:50,2018-11-19 09:53:50,"0,303s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 09:53:50,2018-11-19 09:54:00,"9,971s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 09:53:50,2018-11-19 09:53:53,"3,265s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 09:53:53,2018-11-19 09:53:59,"5,889s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 09:53:59,2018-11-19 09:53:59,"0,270s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 09:53:59,2018-11-19 09:54:00,"0,170s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 09:54:00,2018-11-19 09:54:00,"0,328s",FAILED
