Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-20 15:26:49,2018-11-20 15:28:37,"1m - 48,137s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 15:26:49,2018-11-20 15:27:25,"36,086s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 15:26:49,2018-11-20 15:26:52,"3,172s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 15:26:52,2018-11-20 15:26:53,"0,388s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 15:26:53,2018-11-20 15:27:25,"32,170s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 15:27:25,2018-11-20 15:28:01,"35,942s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 15:27:25,2018-11-20 15:27:28,"2,935s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 15:27:28,2018-11-20 15:27:29,"0,908s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 15:27:29,2018-11-20 15:28:01,"32,076s",FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-20 15:28:01,2018-11-20 15:28:36,"35,171s",FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 15:28:01,2018-11-20 15:28:04,"2,804s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 15:28:04,2018-11-20 15:28:04,"0,334s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 15:28:04,2018-11-20 15:28:36,"32,005s",FAILED
